entity,relation,doc,keywordList
商业银行流动性风险管理办法,第一章,总则,
商业银行流动性风险管理办法,第一条,为加强商业银行流动性风险管理，维护银行体系安全稳健运行，根据《中华人民共和国银行业监督管理法》《中华人民共和国商业银行法》《中华人民共和国外资银行管理条例》等法律法规，制定本办法。,商业银行;中华人民共和国银行业监督管理法;法律法规;中华人民共和国外资银行管理条例;中华人民共和国商业银行法
商业银行流动性风险管理办法,第二条,本办法适用于在中华人民共和国境内依法设立的商业银行。,中华人民共和国;商业银行;依法;设立;办法
商业银行流动性风险管理办法,第三条,本办法所称流动性风险，是指商业银行无法以合理成本及时获得充足资金，用于偿付到期债务、履行其他支付义务和满足正常业务开展的其他资金需求的风险。,商业银行;流动性风险;资金;业务;无法
商业银行流动性风险管理办法,第四条,商业银行应当按照本办法建立健全流动性风险管理体系，对法人和集团层面、各附属机构、各分支机构、各业务条线的流动性风险进行有效识别、计量、监测和控制，确保其流动性需求能够及时以合理成本得到满足。,风险管理体系;流动性;附属机构;分支机构;集团
商业银行流动性风险管理办法,第五条,银行业监督管理机构依法对商业银行的流动性风险及其管理体系实施监督管理。,管理体系;监督管理;流动性风险;商业银行;银行业监督管理
商业银行流动性风险管理办法,第二章,流动性风险管理,
商业银行流动性风险管理办法,第六条,商业银行应当在法人和集团层面建立与其业务规模、性质和复杂程度相适应的流动性风险管理体系。流动性风险管理体系应当包括以下基本要素：(一)有效的流动性风险管理治理结构；(二)完善的流动性风险管理策略、政策和程序；(三)有效的流动性风险识别、计量、监测和控制；(四)完备的管理信息系统。,风险管理体系;流动性风险;商业银行;应当;管理信息系统
商业银行流动性风险管理办法,第一节,流动性风险管理治理结构,流动性风险;管理;治理;结构
商业银行流动性风险管理办法,第七条,商业银行应当建立有效的流动性风险管理治理结构，明确董事会及其专门委员会、监事会(监事)、高级管理层以及相关部门在流动性风险管理中的职责和报告路线，建立适当的考核和问责机制。,监事会;流动性风险;商业银行;委员会;有效的
商业银行流动性风险管理办法,第八条,商业银行董事会应当承担流动性风险管理的最终责任，履行以下职责：(一)审核批准流动性风险偏好、流动性风险管理策略、重要的政策和程序，流动性风险偏好应当至少每年审议一次；(二)监督高级管理层对流动性风险实施有效管理和控制；(三)持续关注流动性风险状况，定期获得流动性风险报告，及时了解流动性风险水平、管理状况及其重大变化；(四)审批流动性风险信息披露内容，确保披露信息的真实性和准确性；(五)其他有关职责。董事会可以授权其下设的专门委员会履行部分职责。,董事会;风险偏好;流动性;流动性风险;商业银行
商业银行流动性风险管理办法,第九条,商业银行高级管理层应当履行以下职责：(一)制定、定期评估并监督执行流动性风险偏好、流动性风险管理策略、政策和程序；(二)确定流动性风险管理组织架构，明确各部门职责分工，确保商业银行具有足够的资源，独立、有效地开展流动性风险管理工作；(三)确保流动性风险偏好、流动性风险管理策略、政策和程序在商业银行内部得到有效沟通和传达；(四)建立完备的管理信息系统，支持流动性风险的识别、计量、监测和控制；(五)充分了解并定期评估流动性风险水平及管理状况，及时了解流动性风险的重大变化，并向董事会定期报告；(六)其他有关职责。,商业银行;管理信息系统;管理组织;管理工作;管理状况;管理策略;风险偏好;定期;流动性;管理层
商业银行流动性风险管理办法,第十条,商业银行应当指定专门部门负责流动性风险管理，其流动性风险管理职能应当与业务经营职能保持相对独立，并且具备履行流动性风险管理职能所需要的人力、物力资源。商业银行负责流动性风险管理的部门应当具备以下职能：(一)拟定流动性风险管理策略、政策和程序，提交高级管理层和董事会审核批准；(二)识别、计量和监测流动性风险，包括持续监控优质流动性资产状况，监测流动性风险限额遵守情况并及时报告超限额情况，组织开展流动性风险压力测试，组织流动性风险应急计划的测试和评估；(三)识别、评估新产品、新业务和新机构中所包含的流动性风险，审核相关操作和风险管理程序；(四)定期提交独立的流动性风险报告，及时向高级管理层和董事会报告流动性风险水平、管理状况及其重大变化；(五)拟定流动性风险信息披露内容，提交高级管理层和董事会审批；(六)其他有关职责。,董事会;管理策略;管理程序;管理状况;管理层;管理职能;管理的;商业银行;相对独立;流动性风险
商业银行流动性风险管理办法,第十一条,商业银行应当在内部定价以及考核激励等相关制度中充分考虑流动性风险因素，在考核分支机构或主要业务条线经风险调整的收益时应当考虑流动性风险成本，防止因过度追求业务扩张和短期利润而放松流动性风险管理。,充分考虑;分支机构;流动性风险;商业银行;考核
商业银行流动性风险管理办法,第十二条,商业银行监事会(监事)应当对董事会和高级管理层在流动性风险管理中的履职情况进行监督评价，至少每年向股东大会(股东)报告一次。,监事会;董事会;股东大会;商业银行;管理层
商业银行流动性风险管理办法,第十三条,商业银行应当按照银行业监督管理机构关于内部控制有关要求，建立完善的流动性风险管理内部控制体系，作为银行整体内部控制体系的有机组成部分。,银行业监督管理;流动性风险;组成部分;商业银行;内部控制
商业银行流动性风险管理办法,第十四条,商业银行应当将流动性风险管理纳入内部审计范畴，定期审查和评价流动性风险管理的充分性和有效性。内部审计应当涵盖流动性风险管理的所有环节，包括但不限于：(一)流动性风险管理治理结构、策略、政策和程序能否确保有效识别、计量、监测和控制流动性风险；(二)流动性风险管理政策和程序是否得到有效执行；(三)现金流分析和压力测试的各项假设条件是否合理；(四)流动性风险限额管理是否有效；(五)流动性风险管理信息系统是否完备；(六)流动性风险报告是否准确、及时、全面。,商业银行;有效性;内部审计;是否;流动性风险
商业银行流动性风险管理办法,第十五条,流动性风险管理的内部审计报告应当提交董事会和监事会。董事会应当针对内部审计发现的问题，督促高级管理层及时采取整改措施。内部审计部门应当跟踪检查整改措施的实施情况，并及时向董事会提交有关报告。商业银行境外分支机构或附属机构采用相对独立的本地流动性风险管理模式的，应当对其流动性风险管理单独进行审计。,整改措施;内部审计部门;董事会;流动性风险;监事会
商业银行流动性风险管理办法,第二节,流动性风险管理策略、政策和程序,管理策略;流动性风险;政策;程序
商业银行流动性风险管理办法,第十六条,商业银行应当根据经营战略、业务特点、财务实力、融资能力、总体风险偏好及市场影响力等因素确定流动性风险偏好。商业银行的流动性风险偏好应当明确其在正常和压力情景下愿意并能够承受的流动性风险水平。,流动性;风险偏好;业务特点;商业银行;经营战略
商业银行流动性风险管理办法,第十七条,商业银行应当根据流动性风险偏好制定书面的流动性风险管理策略、政策和程序。流动性风险管理策略、政策和程序应当涵盖表内外各项业务以及境内外所有可能对流动性风险产生重大影响的业务部门、分支机构和附属机构，并包括正常和压力情景下的流动性风险管理。,业务部门;分支机构;流动性风险;管理策略;商业银行
商业银行流动性风险管理办法,第十八条,商业银行的流动性风险管理策略应当明确流动性风险管理的总体目标、管理模式以及主要政策和程序。流动性风险管理政策和程序包括但不限于：(一)流动性风险识别、计量和监测，包括现金流测算和分析；(二)流动性风险限额管理；(三)融资管理；(四)日间流动性风险管理；(五)压力测试；(六)应急计划；(七)优质流动性资产管理；(八)跨机构、跨境以及重要币种的流动性风险管理；(九)对影响流动性风险的潜在因素以及其他类别风险对流动性风险的影响进行持续监测和分析。,管理策略;总体目标;管理模式;流动性风险;管理
