e1,r,e2,extracted_from,layer
财务情况,achievement_of_audit,报表,2,5
世行贷款项目,achievement_of_audit,审计,2,5
企业财务审计,achievement_of_audit,报表,2,5
剩余资产处理,achievement_of_audit,意见,2,5
固定资产处理,achievement_of_audit,意见,2,5
固定资产清查,achievement_of_audit,意见,2,5
政府性债务审计,achievement_of_audit,报表,2,5
地方政府性债务审计,achievement_of_audit,报表,2,5
剩余,achievement_of_audit,处理意见,2,5
管理,achievement_of_audit,审计决定,2,5
企业税,achievement_of_audit,企业意见,2,5
债权人,achievement_of_audit,审查意见,2,5
财务业务,achievement_of_audit,内审报告,2,5
交易管理,achievement_of_audit,审查意见,2,5
企业股票,achievement_of_audit,审查意见,2,5
企业财务,achievement_of_audit,处理意见,2,5
企业财务,achievement_of_audit,审查意见,2,5
企业资产,achievement_of_audit,审计报表,2,5
企业资产,achievement_of_audit,评审意见,2,5
会计核算,achievement_of_audit,处理意见,2,5
会计管理,achievement_of_audit,审查意见,2,5
体制改革,achievement_of_audit,处理意见,2,5
债权债务,achievement_of_audit,法律意见,2,5
公司合规,achievement_of_audit,审查意见,2,5
养老保险,achievement_of_audit,处理意见,2,5
决算审计,achievement_of_audit,审计决定,2,5
国有出资,achievement_of_audit,法律意见,2,5
基本建设,achievement_of_audit,审计决定,2,5
基金清算,achievement_of_audit,法律意见,2,5
工程价款,achievement_of_audit,审计决定,2,5
工程投资,achievement_of_audit,审计决定,2,5
应用技术,achievement_of_audit,法律意见,2,5
建设程序,achievement_of_audit,审计决定,2,5
建设过程,achievement_of_audit,处理意见,2,5
建设项目,achievement_of_audit,处理意见,2,5
建设项目,achievement_of_audit,审查意见,2,5
建设项目,achievement_of_audit,审计决定,2,5
建设项目,achievement_of_audit,评审意见,2,5
建设项目,achievement_of_audit,选址意见,2,5
建设项目,achievement_of_audit,预审意见,2,5
归口管理,achievement_of_audit,处理意见,2,5
房土两税,achievement_of_audit,审计决定,2,5
投资决策,achievement_of_audit,处理意见,2,5
投资决策,achievement_of_audit,法律意见,2,5
