entityName	NELabel
物耗	accountantSubject
费用	accountantSubject
还款	accountantSubject
外汇	accountantSubject
折扣	accountantSubject
现金	accountantSubject
收益	accountantSubject
贷入	accountantSubject
坏账	accountantSubject
低值	accountantSubject
负债表	accountantSubject
明细类	accountantSubject
能源费	accountantSubject
损失类	accountantSubject
其它支出	accountantSubject
应收基金	accountantSubject
库存证券	accountantSubject
买入返售	accountantSubject
金融同业	accountantSubject
应付利费	accountantSubject
销售量表	accountantSubject
累计投资	accountantSubject
待摊期限	accountantSubject
应收债务	accountantSubject
分成会费	accountantSubject
应收账项	accountantSubject
合并利润	accountantSubject
利润来源	accountantSubject
待处理财	accountantSubject
坏账处理	accountantSubject
应付账项	accountantSubject
待摊保险	accountantSubject
白银买卖	accountantSubject
外币买卖	accountantSubject
应收利恿	accountantSubject
呆账准备	accountantSubject
贷款贴现	accountantSubject
吸收入股	accountantSubject
呆帐准备	accountantSubject
设备用金	accountantSubject
差别准备	accountantSubject
长期资本	accountantSubject
财务状况	accountantSubject
技术转让	accountantSubject
项目附注	accountantSubject
专项报表	accountantSubject
额变动率	accountantSubject
坏账分担	accountantSubject
供应商款	accountantSubject
信息附注	accountantSubject
专用账户	accountantSubject
损赠利得	accountantSubject
所得税准备	accountantSubject
资本利得税	accountantSubject
资金流量表	accountantSubject
主营业务收	accountantSubject
两年期债券	accountantSubject
贸易性商品	accountantSubject
总决算报表	accountantSubject
情况说明表	accountantSubject
在产负债表	accountantSubject
原材料消耗	accountantSubject
生产安全费	accountantSubject
资产负债类	accountantSubject
消费税附加	accountantSubject
现金等价物	accountantSubject
所得税红利	accountantSubject
低制易耗品	accountantSubject
经营性经费	accountantSubject
成本分配表	accountantSubject
代销银行存款	accountantSubject
未资产负债表	accountantSubject
代理兑付债券	accountantSubject
收取金融资产	accountantSubject
以前年度损益	accountantSubject
公允计量资产	accountantSubject
提取风险基金	accountantSubject
合并资产负债	accountantSubject
待处理财产损	accountantSubject
交易性金融资	accountantSubject
其它资本公积	accountantSubject
原材料供应商	accountantSubject
贷款呆帐准备	accountantSubject
超额存款准备	accountantSubject
决算报表附注	accountantSubject
套期保值工具	accountantSubject
待处理财产损失	accountantSubject
贷款政策参数表	accountantSubject
公允价值变动损	accountantSubject
营业税金及附势	accountantSubject
原材料成本差异	accountantSubject
现金流量表附注	accountantSubject
经营性财务状况	accountantSubject
递延所得税确认	accountantSubject
未满期责任准备金	accountantSubject
未来现金流量折现	accountantSubject
贷款协定执行情况	accountantSubject
应收票据背书转让	accountantSubject
材料费用变动差异	accountantSubject
会计报表附注附注	accountantSubject
资金证券余额变动表	accountantSubject
未终止确认金融资产	accountantSubject
主营业务收入增长率	accountantSubject
无形与递延资产摊销	accountantSubject
递延所得税资产审计	accountantSubject
原产	accountantSubject
盈余	accountantSubject
利润	accountantSubject
存款	accountantSubject
电耗	accountantSubject
借款	accountantSubject
退保费	accountantSubject
会诊费	accountantSubject
折旧表	accountantSubject
税金表	accountantSubject
邮递费	accountantSubject
零用金	accountantSubject
慰问费	accountantSubject
训练费	accountantSubject
保存费	accountantSubject
搬运费	accountantSubject
保修费	accountantSubject
利得税	accountantSubject
消耗物	accountantSubject
消耗费	accountantSubject
旅游费	accountantSubject
备付金	accountantSubject
会员费	accountantSubject
保养费	accountantSubject
原物料	accountantSubject
经营税	accountantSubject
出国费	accountantSubject
许可费	accountantSubject
转让费	accountantSubject
运送费	accountantSubject
出让费	accountantSubject
制造费	accountantSubject
保健费	accountantSubject
储备金	accountantSubject
租赁价	accountantSubject
检验费	accountantSubject
库存税	accountantSubject
快递费	accountantSubject
代修费	accountantSubject
中介费	accountantSubject
加盟费	accountantSubject
供暖费	accountantSubject
军训费	accountantSubject
明细费	accountantSubject
车修费	accountantSubject
公告费	accountantSubject
寄递费	accountantSubject
应交税	accountantSubject
提存物	accountantSubject
提存费	accountantSubject
明细账	accountantSubject
备用费	accountantSubject
易耗品	accountantSubject
详情表	accountantSubject
转会费	accountantSubject
培养费	accountantSubject
消费税	accountantSubject
检测费	accountantSubject
资源费	accountantSubject
财产税	accountantSubject
教育费	accountantSubject
在库物资	accountantSubject
坏账担保	accountantSubject
银团贷款	accountantSubject
其他支付	accountantSubject
营业税金	accountantSubject
佣金支出	accountantSubject
明细报表	accountantSubject
汇兑收益	accountantSubject
贷款收入	accountantSubject
备用现金	accountantSubject
汇兑损失	accountantSubject
应付债务	accountantSubject
应收资产	accountantSubject
融资租赁	accountantSubject
投资收入	accountantSubject
材料物资	accountantSubject
应收费用	accountantSubject
材料支出	accountantSubject
贷款赠款	accountantSubject
建筑安装	accountantSubject
工程物质	accountantSubject
开发利润	accountantSubject
免税报表	accountantSubject
固定资本	accountantSubject
逾期借款	accountantSubject
资产摊销	accountantSubject
会计报表	accountantSubject
固定成本	accountantSubject
专项借款	accountantSubject
防控物资	accountantSubject
研发投入	accountantSubject
运输支出	accountantSubject
长期存款	accountantSubject
购入商品	accountantSubject
未付利息	accountantSubject
坏帐损失	accountantSubject
催收账款	accountantSubject
所得税金	accountantSubject
会计摊销	accountantSubject
贷款资产	accountantSubject
已销商品	accountantSubject
劳动成本	accountantSubject
投资利润	accountantSubject
贷款收益	accountantSubject
材料购买	accountantSubject
行政费用	accountantSubject
累积损益	accountantSubject
支付账款	accountantSubject
劳务价格	accountantSubject
专项准备	accountantSubject
递延资产	accountantSubject
预提利息	accountantSubject
控制费用	accountantSubject
其他公积	accountantSubject
待摊资产	accountantSubject
材料成本	accountantSubject
长期借贷	accountantSubject
应收货款	accountantSubject
在途商品	accountantSubject
销售折扣	accountantSubject
商业折扣	accountantSubject
吸收投资	accountantSubject
应收现金	accountantSubject
生产商品	accountantSubject
资本投资	accountantSubject
坏账成本	accountantSubject
实收资产	accountantSubject
拆借资金	accountantSubject
生产价格	accountantSubject
财务收益	accountantSubject
坏账清理	accountantSubject
长期贷款	accountantSubject
代销商品	accountantSubject
购进商品	accountantSubject
租赁资产	accountantSubject
租赁收益	accountantSubject
损失准备	accountantSubject
广告收入	accountantSubject
汇兑损溢	accountantSubject
核定股本	accountantSubject
未还利息	accountantSubject
分出利润	accountantSubject
预算报表	accountantSubject
贷款贷款	accountantSubject
提前支付	accountantSubject
商誉资产	accountantSubject
滞销商品	accountantSubject
现金折承	accountantSubject
资本溢价	accountantSubject
研发投资	accountantSubject
外摊投资	accountantSubject
到期借款	accountantSubject
坏账转销	accountantSubject
递延投资	accountantSubject
保税物资	accountantSubject
黄金买卖	accountantSubject
进销差价	accountantSubject
应收现款	accountantSubject
转入利润	accountantSubject
预提借款	accountantSubject
项目进度	accountantSubject
分发股利	accountantSubject
税费附加	accountantSubject
生物资产	accountantSubject
利润报表	accountantSubject
抵债物资	accountantSubject
待转资产	accountantSubject
股利收入	accountantSubject
差额摊销	accountantSubject
应付融资	accountantSubject
员工投资	accountantSubject
保险收入	accountantSubject
短期存款	accountantSubject
中期借款	accountantSubject
通用物资	accountantSubject
长期股权	accountantSubject
关税给付	accountantSubject
股本公积	accountantSubject
销售商品	accountantSubject
机物料消	accountantSubject
售出商品	accountantSubject
商业税金	accountantSubject
商誉摊销	accountantSubject
待摊支出	accountantSubject
抵贷资产	accountantSubject
企业存款	accountantSubject
短期债券	accountantSubject
累计债券	accountantSubject
贷款利润	accountantSubject
存款准备	accountantSubject
低值易耗	accountantSubject
本或股本	accountantSubject
财产物资	accountantSubject
长期资产	accountantSubject
贷款损失	accountantSubject
专用资产	accountantSubject
设备支出	accountantSubject
累计利润	accountantSubject
债券收入	accountantSubject
